hi	xin chào
transportation	Giao thông vận tải
boring	Chán nản
charity	Bố thí
cousin	Anh em họ
disaster	Thảm họa
editor	Biên tập viên
efficiency	Hiệu quả
excitement	Phấn khích
extent	Mức độ
feedback	Thông tin phản hồi
guitar	Đàn guitar
homework	Bài tập về nhà
leader	Lãnh đạo
mom	Mẹ
outcome	Kết quả
permission	Sự cho phép
presentation	Trình bày
promotion	Khuyến mãi
reflection	Sự phản xạ
refrigerator	Tủ lạnh
resolution	Độ phân giải
revenue	Lợi tức
session	Buổi họp
singer	Ca sĩ
tennis	Quần vợt
basket	Cái giỏ
bonus	Tiền thưởng
cabinet	Buồng
childhood	Thời thơ ấu
church	Nhà thờ
clothes	Quần áo
coffee	Cà phê
dinner	Bữa tối
drawing	Bản vẽ
hair	Tóc
hearing	Thính giác
initiative	Sáng kiến
judgment	Án
lab	Phòng thí nghiệm
measurement	Sự đo lường
mode	Chế độ
mud	Bùn
orange	Trái cam
poetry	Thơ phú
police	Cảnh sát
possibility	Khả năng
procedure	Phương pháp
queen	Nữ hoàng
ratio	Tỉ lệ
relation	Quan hệ
restaurant	Nhà hàng
satisfaction	Sự hài lòng
sector	Khu vực
signature	Chữ ký
significance	Ý nghĩa
song	Bài hát
tooth	Răng
town	Thành phố
vehicle	Xe cộ
volume	Thể tích
wife	Vợ
accident	Tai nạn
airport	Sân bay
appointment	Cuộc hẹn
arrival	Đến
assumption	Giả định
baseball	Bóng chày
chapter	Chương
committee	Ủy ban
conversation	Đàm thoại
database	Cơ sở dữ liệu
enthusiasm	Hăng hái
error	Lỗi
explanation	Giải thích
farmer	Nông dân
gate	Cửa
girl	Cô gái
hall	Đại sảnh
historian	Sử gia
hospital	Bệnh viện
injury	Vết thương
instruction	Hướng dẫn
maintenance	Bảo trì
manufacturer	Nhà chế tạo
meal	Bữa ăn
perception	Sự nhận thức
pie	Bánh
poem	Bài thơ
presence	Sự hiện diện
proposal	Đề nghị
reception	Tiếp nhận
replacement	Sự thay thế
revolution	Cuộc cách mạng
river	Sông
son	Con trai
speech	Lời nói
tea	Trà
village	Làng
warning	Cảnh báo
winner	Người chiến thắng
worker	Công nhân
writer	Nhà văn
assistance	Hỗ trợ
breath	Hơi thở
buyer	Người mua
chest	Ngực
chocolate	Sôcôla
conclusion	Phần kết luận
contribution	Sự đóng góp
cookie	Cookie
courage	Lòng can đảm
dad	Cha
desk	Bàn giấy
drawer	Ngăn kéo
establishment	Thành lập
examination	Kiểm tra
garbage	Đống rác
grocery	Tạp hóa
honey	Mật ong
impression	Ấn tượng
improvement	Sự cải thiện
independence	Độc lập
insect	Côn trùng
inspection	Sự kiểm tra
inspector	Viên thanh tra
king	Vua
ladder	Thang
menu	Thực đơn
penalty	Hình phạt
piano	Dương cầm
potato	Khoai tây
profession	Nghề nghiệp
professor	Giáo sư
quantity	Số lượng
reaction	Sự phản ứng
requirement	Yêu cầu
salad	Xà lách
sister	Chị
supermarket	Siêu thị
tongue	Lưỡi
weakness	Yếu đuối
wedding	Kết hôn
affair	Việc
ambition	Tham vọng
analyst	Phân tích
apple	Táo
assignment	Phân công
assistant	Phụ tá
bathroom	Phòng tắm
bedroom	Phòng ngủ
beer	Bia
birthday	Ngày sinh nhật
celebration	Lễ kỷ niệm
championship	Chức vô địch
cheek	Gò má
client	Khách hàng
consequence	Kết quả
departure	Khởi hành
diamond	Kim cương
dirt	Bụi
ear	Tai
fortune	Vận may
friendship	Tình bạn
funeral	Đám ma
gene	Gen
girlfriend	Bạn gái
hat	Mũ
indication	Dấu hiệu
intention	Mục đích
lady	Phụ nữ
midnight	Nữa đêm
negotiation	Đàm phán
obligation	Nghĩa vụ
passenger	Hành khách
pizza	Bánh pizza
platform	Nền tảng
poet	Thi sĩ
pollution	Ô nhiễm
recognition	Sự công nhận
reputation	Danh tiếng
shirt	Áo sơ mi
sir	Ngài
speaker	Loa
stranger	Người lạ
surgery	Phẫu thuật
sympathy	Thông cảm
tale	Truyện
throat	Họng
trainer	Huấn luyện viên
uncle	Chú
youth	Tuổi trẻ
time	Thời gian
work	Công việc
film	Phim ảnh
water	Nước
money	Tiền
example	Thí dụ
while	Trong khi
business	Kinh doanh
study	Nghiên cứu
game	Trò chơi
life	Đời sống
form	Hình thức
lemond	qua chanh
